models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-1.5B,aime25,0.35,11650.9,137.4,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.35,11930.05,138.8,0.2,1.0
DeepSeek-R1-Distill-Qwen-1.5B,amc23,0.7,6835.7,134.4,0.4,0.25
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,0.56187291,669.9197324,122.6086957,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,math500,0.6325,4369.1675,135.2725,0.8,0.5
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,0.514,629.538,117.078,0.2,0.75
DeepSeek-R1-Distill-Qwen-7B,aime25,0.6,9774.15,134.8,0.2,0.2
DeepSeek-R1-Distill-Qwen-7B,aime_2024,0.65,9253.95,135.0,0.2,0.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4857.166667,56.0,0.2,0.25
DeepSeek-R1-Distill-Qwen-7B,arc-c,0.829431438,600.1404682,117.3545151,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.8225,2879.6175,135.31,0.4,0.4
DeepSeek-R1-Distill-Qwen-7B,openbookqa,0.768,591.802,120.796,0.2,0.05
Qwen2.5-3B-Instruct,aime25,0.15,1023.1,108.4,0.4,0.75
Qwen2.5-3B-Instruct,aime_2024,0.2,1264.45,81.0,0.6,0.75
Qwen2.5-3B-Instruct,amc23,0.566666667,1432.0,127.0666667,0.4,0.25
Qwen2.5-3B-Instruct,arc-c,0.842809365,287.7892977,88.82274247,0.2,0.75
Qwen2.5-3B-Instruct,math500,0.6525,977.8675,120.8,0.4,1.0
Qwen2.5-3B-Instruct,openbookqa,0.772,259.844,82.088,0.4,0.5
Qwen2.5-7B-Instruct,aime25,0.2,993.6,130.6,0.4,0.1
Qwen2.5-7B-Instruct,aime_2024,0.25,1126.35,73.8,0.8,0.25
Qwen2.5-7B-Instruct,amc23,0.666666667,909.5333333,128.2666667,0.4,0.75
Qwen2.5-7B-Instruct,arc-c,0.889632107,305.5150502,110.632107,0.6,0.5
Qwen2.5-7B-Instruct,math500,0.715,717.875,125.26,0.8,0.1
Qwen2.5-7B-Instruct,openbookqa,0.804,254.764,94.926,0.4,0.75
