models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.35,11930.05,138.8,0.2,1
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.3,11287.85,128.2,0.2,0.75
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.3,12175.55,134,0.6,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.25,11265.05,139.2,0.4,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.25,12313.1,135.6,0.4,0.5
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.25,11988.7,133,0.6,0.5
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.25,12941.2,137.6,0.8,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.25,13282.55,137,0.8,0.75
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.2,13898.15,139.4,0.2,0.5
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.2,13049.8,130.3,0.4,1
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.2,13350.55,130.8,0.6,1
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.2,13820.6,130.8,0.8,0.5
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.15,13289.4,128.6,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.15,12430.9,129.6,0.4,0.75
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.15,13135.05,137.4,0.6,0.75
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,0.1,14045.95,128.6,0.8,1
DeepSeek-R1-Distill-Qwen-1.5B,aime25,0.35,11650.9,137.4,0.2,0.25
DeepSeek-R1-Distill-Qwen-1.5B,aime25,0.35,11470.2,137.4,0.2,0.5
DeepSeek-R1-Distill-Qwen-1.5B,aime25,0.35,11806.65,135.9,0.4,1
DeepSeek-R1-Distill-Qwen-1.5B,aime25,0.35,11587.85,130.9,0.6,0.25
